title,contentid,cat1,cat2,cat3,firstimage,region,mapx,mapy,overview,homepage
가족사랑 아이스축제,2397299,인문(문화/예술/역사),축제,일반축제,http://tong.visitkorea.or.kr/cms/resource/70/3333670_image2_1.jpg,대구광역시,128.5455030841,35.8736658721,"올해로 7회를 맞이하는 가족사랑 아이스 축제는 얼음과 물을 활용하여 온 가족이 함께 체험하며 즐기는 축제로 아이스 인간볼링, 얼음 족욕, 수박 빨리먹기 등 다양한 콘텐츠가 준비되어 있다. 또한 본무대에서는 식전공연으로 키즈방송댄스가 진행되며, 이후 개막식과 식후공연으로 버블&매직 쇼 찾아가는 문화공연과 연계한 버스킹 등 다채로운 문화공연도 펼쳐진다.",
가족사랑바다체험펜션,1351349,숙박,숙박시설,펜션,,경상남도,127.9675765215,34.8169300517,"가족사랑체험펜션은 삼동면 고잔마을에 있는 대형 펜션이다. 삼동면 지족리에서 이동면으로 향하는 해안도로를 달리다 보면, 도롯가에 바로 가족사랑체험펜션이 보인다. 총 3층으로 지어진 펜션은 규모가 꽤 커서 펜션이라기보다 호텔 같은 느낌이 든다. 바다와 마주하고 있는 테라스에서 잠시 바다를 바라보다 안으로 들어가니 서글서글한 표정의 주인이 인사를 건넨다. 
펜션의 방은 1, 2층에 각각 특실, 2층의 VIP룸, 3층의 커플룸으로 구성되어 있다. 모든 객실에서 바다가 내려다보인다. 작은 부두와 섬, 그리고 저 멀리 수평선을 바라보니 마음이 저절로 차분해지는 느낌이다. 세미나실, 노래방, 족구장이 있어 단체 워크숍이나 가족, 동호회 모임에도 제격이다. 이곳에선 선상낚시와 갯벌 체험이 가능하다. 봄에는 주꾸미잡이, 가을에는 통발 낙지잡이와 전어잡이 체험을 할 수 있고, 4명 이상 모이면 선상낚시도 즐길 수 있다. 본인이 직접 잡은 것은 고스란히 가져갈 수 있기 때문에 여행객들이 아주 좋아한다.",
가족소풍,2726681,레포츠,육상 레포츠,"야영장,오토캠핑장",http://tong.visitkorea.or.kr/cms/resource/79/2727079_image2_1.jpg,전라남도,127.0345207933,35.4256731127,"가족소풍은 담양군 용면 용연리에 위치한 곳으로 가든과 펜션이 함께 조성된 캠핑장이다. 약 13,000m² 규모의 부지에 일반야영장 42면과 카라반 6대로 구성되어 있다. 이곳은 가든과 펜션 바로 옆에 계곡이 있어 여름에 물놀이는 물론 맑은 계곡물 속에서 피라미, 다슬기 등을 만날 수 있다. 또한 캠핑장 내 닭장이 있어 관상용 닭들과 달걀 낳는 것을 보는 묘미도 있다. 이곳은 사이트가 넓은 편이고 바닥은 파쇄석으로 이루어져 있다. 사이트엔 나무그늘이 많아 무더운 여름에도 땡볕 걱정 없이 시원하게 이용할 수 있다. 캠핑장은 전체적으로 정돈이 잘 되어 있으며 화장실, 개수대, 샤워장이 가까워서 편리하다. 특히 개수대는 곳곳에 자리 잡고 있어 먼 걸음으로 이동하지 않아도 가볍게 이용할 수 있다. 또한 텐트 대여도 가능하다. 이밖에도 매점에서  음료수, 빙과류, 석쇠, 장작 등을 판매하고 제빙기가 있어 얼음도 쉽게 구할 수 있다.","<a href=""https://cafe.naver.com/greenc2lbt/"" target=""_blank"" title=""새창 : 가족소풍 사이트로 이동"">https://cafe.naver.com/greenc2lbt/</a>"
가족쉼터,2738718,레포츠,육상 레포츠,"야영장,오토캠핑장",http://tong.visitkorea.or.kr/cms/resource/41/2739041_image2_1.JPG,경기도,127.2721277525,37.7548793239,"경기도 남양주의 몽골문화촌 가족쉼터 캠핑장은 남양주시에서 운영하는 당일 캠핑장이다.  수동계곡 바로 옆에 위치해 울창한 숲속에서 대자연의 신비로움을 만끽할 수 있다. 캠핑장은 오전 7시부터 오후 7시까지 운영하며 사전 예약제로 운영한다. 캠핑장 내에 화장실, 샤워장, 개수대, 매점 등 편의시설은 보수 중이다.",
가족여행으로 떠나기 좋은 세종 1박2일 여행 코스,2932743,추천코스,힐링코스,힐링코스,http://tong.visitkorea.or.kr/cms/resource/25/2724225_image2_1.jpg,세종특별자치시,127.2857090051,36.4986579981,"가족 나들이를 떠나기 좋은 한적한 세종시 1박2일 여행 코스를 소개한다. 이응다리로 유명한 금강보행교부터 사계절 푸르른 국립세종수목원, 세종만의 특색있는 청사 옥상정원과 대통령기록전시관까지! 세종여행이 처음이라면 이 코스를 주목해보자.",
가족의 달 어린이 축제,2986679,인문(문화/예술/역사),축제,일반축제,http://tong.visitkorea.or.kr/cms/resource/08/3304508_image2_1.jpg,인천광역시,126.5777264136,37.48912279,"가족의 달을 맞이 마련된 이번 ‘어린이 축제’에서는 ‘출동! EBS 지구 구조대’, ‘어린이 뮤지컬’ 등 어린이와 가족이 함께 할 수 있는 다양한 공연과 체험 프로그램이 펼쳐질 예정이다. <br>
특히 재단과 EBS가 공동 기획한 ‘출동! EBS 지구 구조대’는 야외 체험공간에서 멸종 위기 동물에 대해 학습하고 상상의 생명체를 만들어 보는 등의 복합 교육 활동이다. 재단 공식 누리집을 통해 사전 예약 후 체험할 수 있다. 또한 다면 공간 체험(메타버스) 및 AR 콘텐츠 등 다양한 실감 콘텐츠를 보유한 이동형 체험 공간인 ‘E-스쿨버스(School-Verse)’가 함께 운영될 예정이다. 아울러 ‘행복한 가정을 만드는 부모의 소통 스킬’을 주제로 한 ‘교양강의’, 부모님의 소중함을 일깨워주는 ‘어린이 뮤지컬’, 아이들의 경제 관념 확립을 위한 ‘어린이 물물교환’도 함께 열린다. <br>
이 외에도 ‘인천 어린이 공연예술축제(아시테지 in 인천)’와 협업한 서커스 및 목각인형 콘서트는 물론, 영종역사관 주관의 ‘제2회 역사 그림 그리기대회’도 같은 날 진행될 예정이다.","<a href=""https://ijcf.or.kr/load.asp?subPage=410.View&category=3&idx=157"" target=""_blank"" title=""새창 : 가족의 달 어린이 축제 홈페이지 이동"">ijcf.or.kr</a>"
가족천하 본점,2854328,음식,음식점,한식,,서울특별시,126.8963470829,37.4988578625,"가족천하는 한우 소고기와 양념 돼지갈비를 판매하는 소고기 전문점이다. 단독 건물을 사용하고 있으며, 매장 안으로 들어서면 넓은 홀과 많은 테이블이 보인다. 단체석과 개별룸이 구비되어 있어 각종 단체 행사나 모임 하기에도 적합하다. 솔잎돼지왕갈비정식, 소양념갈비정식, 양념불고기정식, 소갈비살정식의 정식 메뉴가 있으며 식사는 돌솥밥과 공기밥, 냉면 중 선택이 가능하다. 단품 메뉴도 판매하고 있으며, 낙지갈티방과 전복갈비탕 등의 식사메뉴도 있다.",
가족회관,579046,음식,음식점,한식,,전북특별자치도,127.1459591164,35.8170667179,"가족회관은 1973년에 개업해 3대째 가업을 이어온 비빔밥 전문점이다. 1대 김년임 대표는 농림축산식품부 전통식품 명인 39호 전라북도 무형문화재 제39호 비빔밥 기능보유자이다. 메뉴는 전주비빔밥과 육회비빔밥 두 가지와 가족회관 정식이 있는데 정식은 하루 전에 예약해야 먹을 수 있다. 비빔밥을 주문하면 나무 쟁반에 기본 찬이 정갈하게 담아져 나온다. 10여 가지가 넘는 반찬에 뚝배기 계란찜까지 푸짐한 상이 차려진다. 전주비빔밥은 전북지역에서 생산되는 유기농 농산물로 만들어지며, 사골국물로 지은 밥은 밥알이 코팅되어 식어도 굳거나 딱딱해지지 않는다. 깔끔하고 담백한 맛에 건강까지 챙길 수 있는 곳이다.",
가좌산대나무숲길,2786064,레포츠,육상 레포츠,트래킹,http://tong.visitkorea.or.kr/cms/resource/36/2792436_image2_1.jpg,경상남도,128.1026807218,35.1614576657,"진주 도심에 자리한 테마 숲길 중 하나로 오랜 세월 도시와 함께 자란 대나무 숲을 만날 수 있다. 진주의 ‘걷고 싶은 길 10선’에도 선정되었던 가좌산대나무숲길은 울창한 대나무 숲 사이로 산책로가 있다. 덕분에 걷는 내내 대나무 숲에서 불어오는 시원한 바람과 상쾌한 공기를 즐길 수 있다. 높이 116m의 가좌산은 국립산림과학원 남부산림연구소에서 연구 목적으로 시험림을 운영 중이다. 때문에 대나무숲길에서도 다양한 종류의 대나무를 한자리에서 만날 수 있는 것은 물론, 나무마다 수령이 표기되어 있어 이를 관찰하는 재미도 쏠쏠하다. 초록빛 차나무가 싱그러움을 더하는 청풍길과 이국적인 고사리숲길 등 주변 산림 경관이 우수하고 수목도 잘 관리되어 있다.",
가좌시장,2768173,쇼핑,쇼핑,상설시장,http://tong.visitkorea.or.kr/cms/resource/54/2781354_image2_1.jpg,인천광역시,126.6834110718,37.4941962868,"인천시 서구에 위치한 가좌시장은 1970년도 초에 형성된 전통시장으로 2,900m² 규모에 약 150여 개의 점포가 운영 중인 재래시장이다. 2021년 10월 전 지붕 아케이드 공사를 완료하여 날씨와 무관하게 편리하게 장을 볼 수 있다. 제철 채소와 생선, 해산물, 정육점 외에도 어묵 가게, 전통유과·한과점, 수제 떡갈비 등 즉석에서 시식이 가능한 먹거리들이 많다. TV 프로그램 <백종원 골목식당>에 소개됐던 만스김밥이 2020년 6월 가좌시장으로 이전해오면서 시장을 찾는 사람들이 더 늘고 있다.","<a href=""http://gjmarket.kr/"" target=""_blank"" title=""새창 : 가좌시장 사이트로 이동"">http://gjmarket.kr/</a>"
