title,contentid,cat1,cat2,cat3,firstimage,region,mapx,mapy,overview,homepage
가고파부치기,2788416,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/85/2788385_image2_1.jpg,강원특별자치도,128.3949124655,37.3664313199,평창읍에 위치한 한식당으로 평창시장 길에서 중국식 만두를 맛 볼 수 있는 유일한 식당이다.,
가고파생삼겹구이,2866408,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/02/2866402_image2_1.JPG,경상남도,128.548368228,35.1052441863,Unknown,Unknown
가고파식당,2572443,음식,음식점,한식,,경상남도,128.5064669527,34.7671312725,"통영시 한산면에 위치한 한식집으로 한산도의 천연 재료를 사용한 음식을 즐기실 수 있다. 대표 메뉴는 모둠회, 매운탕이지만 회를 못 먹는 사람들을 위한 백반 정식, 돈가스, 생삼겹살, 두루치기도 있다. 음식을 시키면 기본 7여 가지 이상의 밑반찬이 함께 나온다. 김치, 산나물, 절임류 등 그 종류가 다양하고 맛이 좋다.",
가고파캠핑장,2792802,레포츠,육상 레포츠,"야영장,오토캠핑장",http://tong.visitkorea.or.kr/cms/resource/33/2799833_image2_1.JPG,경상남도,127.8177481174,35.2400382279,"경북 산청군 시천면 내공리에 있는 가고파캠핑장은 두류연수원으로 사용했던 장소이기도 하다. 전체 파쇄석이 깔린 캠핑장으로, 데크 공간이 꽤 널찍하게 마련되어 있어 캠핑 시 주변 캠핑객과의 거리를 유지할 수 있다. 다만, 일부 사이트는 땡볕이어서 원하는 사이트를 잘 고르는 것이 중요하다. 산청 가고파캠핑장은 낡고 오래되었으나, 깨끗하게 유지되고 있으며, 지나치게 크지 않은 조용한 캠핑장을 원하는 이들에게 사랑받고 있다. 
또한, 아이들을 위한 트램펄린도 마련되어 있고, 샤워장도 깨끗하게 유지되고 있다. 매점에는 필요한 물품이 알차게 채워져 있으나, 가까이에 대형 마트도 있어 장보기에도 걱정이 없다. 약 396㎡ 규모로 그 넓이를 자랑하는 수영장이 마련되어 있으며, 이 수영장에는 지하수를 채우기 때문에 물이 굉장히 차가워서 여름철에는 더욱 시원하게 즐길 수 있다.","<a href=""https://cafe.naver.com/gagopayo"" target=""_blank"" title=""새창 : 가고파캠핑장 사이트로 이동"">https://cafe.naver.com/gagopayo</a>"
가곡국민여가캠핑장,2994101,레포츠,육상 레포츠,"야영장,오토캠핑장",http://tong.visitkorea.or.kr/cms/resource/98/2994098_image2_1.jpg,강원특별자치도,129.2080294287,37.1521493651,Unknown,Unknown
가곡유황온천&스파,2994116,인문(문화/예술/역사),휴양관광지,온천/욕장/스파,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image2_1.jpg,강원특별자치도,129.2062296318,37.1507494904,"가곡 유황온천&스파는 자연에서 솟아나는 유황온천을 즐길 수 있는 곳이다. 가곡면의 멋진 풍광을 함께 즐길 수 있는 메인 풀장부터 어린아이도 함께할 수 있는 키즈 스파, 동굴 스파, 쿨링 스파, 인피니티 풀, 자쿠지 풀까지 다양한 테마의 시설이 준비되어 있다. 스낵 코너에서 간단한 식사도 가능하다. 근처에 가곡 국민여가캠핑장도 조성되어 있어 가족과 자연 속에서 알찬 휴가를 보내기에 손색이 없다. 1일 2회 시간제 코스로 삼척 시티투어버스도 운영중이어서 접근성 또한 좋다. 다만 온천장 이용 시 수축기 혈압 170 이상, 심장병(심근경색, 협심증) 등의 심신이 허약한 경우에는 입장이 불가하다.","<a href=""https://gagokspa.kr/"" target=""_blank"" title=""삼척가곡유황온천&스파 사이트로 이동"">https://gagokspa.kr/</a>"
가까운약국 서면,2930927,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/49/2885349_image2_1.jpg,부산광역시,129.0568335973,35.1579947826,-,
가나다라브루어리,2828355,음식,음식점,카페/전통찻집,,경상북도,128.1563528928,36.6148826578,Unknown,Unknown
가나돈까스의집,2871024,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/08/2871008_image2_1.JPG,서울특별시,127.0377755568,37.5099674377,"언주역과 선정릉역 중간쯤에 위치한 돈까스 맛집이다. 건물의 지하로 내려가면 내부가 넓어 많은 인원을 수용할 수 있다. 이곳의 대표메뉴는 돈까스로 전형적인 옛날 돈까스의 비주얼과 맛을 선보인다. 돈까스 외에도 육개장, 알밥, 회덮밥 등의 메뉴가 있고 특이하게 기본 찬으로 김치와 오이고추를 수북이 내어준다. 가게 앞에 주차가 가능하나 공간이 협소하여 도보 이용을 추천한다.",
가나샤브샤브,1928589,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/30/3062830_image2_1.JPG,대전광역시,127.35127,36.3890161659,"가나샤브샤브는 싱싱한 해물과 신선한 야채, 엄선된 국내산 한우로 만드는 샤브샤브 맛집이다. 대표 메뉴는 소고기 샤브샤브이며, 이 외에도 가나 샤브샤브, 암소생등심 샤브샤브, 스페셜 샤브샤브, 한우탕, 안동문어숙회, 암소 꽃등심 등을 취급하고 있다.
한우 암소생등심 샤브샤브는 무, 양파, 다시마 등 10여 가지 재료를 끓여 낸 육수를 이용해 신선한 야채와 버섯, 우리 밀을 밀어 직접 뽑아낸 국수를 맛볼 수 있다. 샤브샤브 메뉴 주문 시 마무리로 영양죽과 칼국수도 제공된다.
주변에는 대전시민천문대, 유성종합스포츠센터, 연구단지종합운동장 등이 있다.",
