title,contentid,cat1,cat2,cat3,firstimage,region,mapx,mapy,overview,homepage
갤럭시 롯데아울렛 부여점,2917528,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/88/2883488_image2_1.jpg,충청남도,126.9019791164,36.307259306,-,
갤럭시 롯데아울렛 이천점,2922459,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/99/2890199_image2_1.jpg,경기도,127.400044712,37.2422772151,-,
갤럭시 롯데아울렛 파주점,2918486,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/79/2881179_image2_1.jpg,경기도,126.6937760801,37.7178732145,-,
갤럭시 모텔,139224,숙박,숙박시설,모텔,http://tong.visitkorea.or.kr/cms/resource/20/207320_image2_1.jpg,강원특별자치도,128.8420903297,37.2294806274,"갤럭시 모텔에서는 화암 동굴, 정선 5일장 외 정선 카지노, 정선 스키장에서 도시의 스트레스를 날려버리고, 즐거운 삶과 편안한 휴식을 위한 공간을 저렴한 가격에 최상의 서비스로 제공받을 수 있다.",
갤럭시 빨질렐리 현대가든파이브,2924240,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/91/2879491_image2_1.jpg,서울특별시,127.1249768726,37.4776672007,-,www.ssfshop.com
갤럭시 신세계강남점,2922392,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/67/2890167_image2_1.jpg,서울특별시,127.0035815712,37.5056062193,-,
갤럭시 신세계백화점 김해점,2929094,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/38/2885938_image2_1.jpg,경상남도,128.8722699469,35.2293778284,-,
갤럭시 신세계아울렛 부산점,2917296,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/66/2884566_image2_1.jpg,부산광역시,129.2349940728,35.3238517233,-,Premiumoutlets.co.kr
갤럭시 신세계아울렛 파주점,2918546,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/10/2880910_image2_1.jpg,경기도,126.6965243749,37.7694061453,-,
갤럭시 현대 디큐브,2928402,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/72/2880172_image2_1.jpg,서울특별시,126.8884169673,37.5089148857,-,
갤럭시 현대 목동점,2922391,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/37/2880137_image2_1.jpg,서울특별시,126.8747288364,37.5263292843,-,
갤럭시 현대 중동점,2926570,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/18/2881918_image2_1.jpg,경기도,126.7620980542,37.5043714984,-,
갤럭시 현대 천호점,2903096,쇼핑,쇼핑,사후면세점,,서울특별시,127.1244557316,37.5390267349,-,
갤럭시 현대아울렛 김포점,2925830,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/29/2880629_image2_1.jpg,경기도,126.7852461144,37.5972888829,-,
갤럭시 현대아울렛 송도점,2928141,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/14/2882714_image2_1.jpg,인천광역시,126.6579998144,37.3828032236,-,
